#DEPTH,AC,DEN,CNL
2125.625,284.23,1.9,38.93
2125.75,283.09,1.89,39
2125.875,281.77,1.88,38.04
2126,284.55,1.85,36
2126.125,289.63,1.82,35.04
2126.25,288.89,1.78,34
2126.375,283.72,1.75,34
2126.5,277.97,1.74,35
2126.625,275.46,1.73,35.96
2126.75,280.24,1.73,37
2126.875,290.61,1.72,37.96
2127,297.52,1.7,38
2127.125,300.44,1.67,37.04
2127.25,304.47,1.65,34
2127.375,301.89,1.63,31.11
2127.5,289.23,1.64,29
2127.625,276.15,1.71,28.04
2127.75,263.39,1.84,26
2127.875,248.34,2.03,24.08
2128,233.12,2.25,23
2128.125,226.71,2.41,22.04
2128.25,227.31,2.51,22
2128.375,228.48,2.53,22
2128.5,227.4,2.52,21
2128.625,226.89,2.5,21.96
2128.75,228.53,2.5,22
2128.875,229.63,2.51,21.04
2129,228.71,2.51,19
2129.125,227.33,2.52,17.08
2129.25,224.76,2.54,16
2129.375,220.47,2.57,15.04
2129.5,216.73,2.56,15
2129.625,216.25,2.52,15
2129.75,217.58,2.46,16
2129.875,221.78,2.39,16.96
2130,232.03,2.33,18
2130.125,241.18,2.25,18.96
2130.25,246.08,2.15,19
2130.375,251.74,2.07,21.89
2130.5,262.99,2.01,26
2130.625,272.77,1.97,30.81
2130.75,275.64,1.97,32
2130.875,274.54,1.98,30.08
2131,269.1,1.99,28
2131.125,256.43,1.99,27.04
2131.25,240.98,1.98,27
2131.375,238.05,1.97,28.93
2131.5,254.52,1.96,32
2131.625,278.98,1.94,34.89
2131.75,298.35,1.93,37
2131.875,308.23,1.93,37.96
2132,312.72,1.93,35
2132.125,304.04,1.93,31.15
2132.25,289.6,1.93,28
2132.375,282.48,1.94,27.04
2132.5,279.05,1.95,28
2132.625,273.31,1.98,29.93
2132.75,267.85,2.02,30
2132.875,265.73,2.07,29.04
2133,263.61,2.1,27
2133.125,262.66,2.13,27
2133.25,263.1,2.15,27
2133.375,263.06,2.17,27.96
2133.5,262.18,2.19,28
2133.625,260.12,2.19,27.04
2133.75,256.53,2.2,27
2133.875,253.76,2.22,26.04
2134,250.66,2.25,25
2134.125,248.17,2.28,25
2134.25,248.6,2.31,26
2134.375,250.81,2.32,26
2134.5,251.31,2.32,26
2134.625,246.83,2.31,26
2134.75,237.84,2.31,25
2134.875,230.3,2.31,25
2135,229.01,2.28,27
2135.125,235.46,2.23,31.81
2135.25,248.32,2.16,36
2135.375,261.68,2.1,36.96
2135.5,275.21,2.05,36
2135.625,285.59,2.03,36.96
2135.75,294.86,2.03,39
2135.875,302.87,2.03,41.89
2136,313.47,2.04,43
2136.125,324.54,2.04,42.04
2136.25,332.58,2.06,42
2136.375,332.33,2.08,42.96
2136.5,328.73,2.11,44
2136.625,328.35,2.13,44.96
2136.75,327.28,2.15,44
2136.875,323.59,2.15,44
2137,324.32,2.15,45
2137.125,327.54,2.14,45
2137.25,328.53,2.12,44
2137.375,333.12,2.09,42.08
2137.5,341.26,2.06,39
2137.625,343.19,2.05,39
2137.75,339.42,2.04,40
2137.875,332.23,2.03,40.96
2138,319.42,2.01,40
2138.125,311.14,2.02,40
2138.25,312.23,2.05,40
2138.375,318.14,2.09,40.96
2138.5,322.25,2.13,41
2138.625,324.45,2.14,41
2138.75,328.8,2.13,41
2138.875,337.09,2.11,40.04
2139,346.61,2.09,40
2139.125,350.56,2.07,40
2139.25,349.68,2.07,41
2139.375,342.67,2.07,42.93
2139.5,331.09,2.07,45
2139.625,319.92,2.08,45.96
2139.75,308.65,2.11,45
2139.875,301.09,2.14,42.11
2140,292.75,2.19,38
2140.125,278.67,2.24,34.15
2140.25,265.99,2.27,31
2140.375,263.57,2.25,30.04
2140.5,267.26,2.2,29
2140.625,273.03,2.14,29
2140.75,277.94,2.09,29
2140.875,280.76,2.07,29
2141,285.58,2.06,30
2141.125,286.95,2.06,30.96
2141.25,280.65,2.06,32
2141.375,274.22,2.07,33.93
2141.5,273.61,2.08,34
2141.625,277.43,2.08,34.96
2141.75,287.85,2.08,38
2141.875,301.05,2.08,39.93
2142,310.67,2.08,40
2142.125,314.9,2.07,40
2142.25,319.91,2.05,40
2142.375,321.94,2.03,37.11
2142.5,321.11,2.05,33
2142.625,316.45,2.13,28.19
2142.75,299.04,2.27,26
2142.875,268.69,2.4,26
2143,234.55,2.48,24
2143.125,208.65,2.53,19.19
2143.25,191.56,2.56,15
2143.375,183.92,2.56,12.11
2143.5,180.2,2.55,11
2143.625,178.93,2.55,11
2143.75,179.57,2.56,11
2143.875,183.41,2.57,11.96
2144,191.01,2.58,13
2144.125,199.47,2.58,13.96
2144.25,207.49,2.55,14
2144.375,213.13,2.49,14.96
2144.5,218.82,2.41,17
2144.625,225.8,2.34,20.85
2144.75,235.83,2.29,24
2144.875,251.11,2.26,26.89
2145,269.36,2.25,28
2145.125,277.9,2.26,28
2145.25,276.32,2.3,27
2145.375,271.72,2.33,27
2145.5,266.1,2.36,27
2145.625,262.27,2.35,27
2145.75,265.14,2.32,28
2145.875,272.25,2.28,28.96
2146,276.42,2.25,29
2146.125,275.8,2.25,29.96
2146.25,276.49,2.27,31
2146.375,283.97,2.29,31.96
2146.5,295.66,2.31,32
2146.625,305.52,2.33,32.96
2146.75,308.57,2.34,34
2146.875,300.89,2.35,34.96
2147,282.5,2.36,35
2147.125,263.59,2.38,31.15
2147.25,250.63,2.39,28
2147.375,247.55,2.4,26.08
2147.5,248.31,2.41,25
2147.625,254.96,2.4,25
2147.75,267.94,2.38,26
2147.875,274.66,2.35,26.96
2148,275.6,2.3,28
2148.125,277.36,2.25,28.96
2148.25,275.77,2.22,30
2148.375,266.76,2.21,30
2148.5,258.59,2.23,30
2148.625,257.27,2.26,28.08
2148.75,256.85,2.3,26
2148.875,253.03,2.34,25.04
2149,247.98,2.37,24
2149.125,242.32,2.42,23.04
2149.25,234.7,2.46,24
2149.375,231.75,2.48,24.96
2149.5,237.55,2.46,28
2149.625,245.69,2.44,29.93
2149.75,253.37,2.41,31
2149.875,258.48,2.39,29.08
2150,261.96,2.36,27
2150.125,267.02,2.31,27.96
2150.25,278.82,2.22,30
2150.375,289.13,2.11,31.93
2150.5,290.67,2.04,32
2150.625,290.1,2.02,32
2150.75,296.84,2.03,33
2150.875,308.36,2.03,33
2151,319.83,2.03,34
2151.125,326.43,2.01,33.04
2151.25,319.98,2.02,33
2151.375,301.14,2.05,33.96
2151.5,278.59,2.11,35
2151.625,272.56,2.17,35
2151.75,282.85,2.19,36
2151.875,299.08,2.15,37.93
2152,314.17,2.11,39
2152.125,326.68,2.1,39.96
2152.25,335.15,2.14,40
2152.375,335.46,2.18,40.96
2152.5,332.63,2.23,43
2152.625,330.52,2.26,43
2152.75,326.88,2.26,43
2152.875,321.58,2.24,44.93
2153,322.09,2.22,48
