#DEPTH,AC,DEN,CNL
2212.125,287.22,2.4,36.96
2212.25,297.77,2.28,38
2212.375,308.85,2.17,38.96
2212.5,326.86,2.1,39
2212.625,343.38,2.08,39.96
2212.75,352.3,2.08,40
2212.875,352.63,2.1,40.96
2213,348.27,2.1,42
2213.125,346.22,2.1,44.89
2213.25,344.15,2.09,47
2213.375,333.47,2.07,47
2213.5,319.25,2.05,44
2213.625,317.54,2.03,40.15
2213.75,325.82,2.04,38
2213.875,339.63,2.04,38
2214,363.26,2.01,40
2214.125,380.94,1.98,42.89
2214.25,379.77,1.97,45
2214.375,368.2,1.97,45.96
2214.5,355.98,1.99,46
2214.625,346.9,2.01,45.04
2214.75,339.69,2.03,41
2214.875,333.12,2.06,37.15
2215,322.36,2.11,35
2215.125,309.92,2.19,35
2215.25,296.07,2.28,36
2215.375,285.86,2.35,36
2215.5,282.15,2.39,36
2215.625,289.81,2.37,36.96
2215.75,308.47,2.3,39
2215.875,325.65,2.2,39.96
2216,330.55,2.12,40
2216.125,324.14,2.06,39.04
2216.25,312.38,2.04,37
2216.375,297.28,2.04,35.08
2216.5,285.63,2.05,36
2216.625,298.08,2.06,38.89
2216.75,328.66,2.05,43
2216.875,357.3,2.01,45.89
2217,376.66,1.97,46
2217.125,380.93,1.94,45.04
2217.25,369.43,1.96,46
2217.375,349.36,2,47.93
2217.5,328.13,2.05,49
2217.625,313.02,2.09,49
2217.75,306.07,2.1,49
2217.875,313.16,2.08,48.04
2218,328.55,2.08,47
2218.125,335.28,2.1,46.04
2218.25,332,2.15,45
2218.375,325.47,2.23,44.04
2218.5,315.27,2.28,41
2218.625,301.39,2.3,38.11
2218.75,288.68,2.26,36
2218.875,286.49,2.19,36
2219,292.94,2.14,39
2219.125,293.89,2.11,40.93
2219.25,287.61,2.1,41
2219.375,283.64,2.08,41
2219.5,279.55,2.05,41
2219.625,270.66,2.02,41
2219.75,261.39,2.01,40
2219.875,258.14,2.04,38.08
2220,257.09,2.07,35
2220.125,253.47,2.11,33.08
2220.25,249.78,2.14,32
2220.375,255.52,2.15,33.93
2220.5,272.65,2.13,36
2220.625,289.68,2.1,37.93
2220.75,303.48,2.05,39
2220.875,312.72,2.02,40.93
2221,312.92,2.02,41
2221.125,302.24,2.06,39.08
2221.25,291.82,2.09,37
2221.375,285.37,2.07,36.04
2221.5,281.08,1.97,36
2221.625,280.62,1.86,35.04
2221.75,280.82,1.76,33
2221.875,280.45,1.73,31.08
2222,279.59,1.75,29
2222.125,275.05,1.84,28.04
2222.25,269.63,2,28
2222.375,266.11,2.16,28
2222.5,262.92,2.3,28
2222.625,265.69,2.34,28.96
2222.75,273.89,2.34,29
2222.875,275.09,2.29,29
2223,267.13,2.26,28
2223.125,258.55,2.28,26.08
2223.25,257.24,2.36,25
2223.375,265.53,2.45,23.08
2223.5,286.84,2.47,23
2223.625,317.7,2.41,25.89
2223.75,351.98,2.3,32
2223.875,374.45,2.22,37.77
2224,388.34,2.16,40
2224.125,390.41,2.13,38.08
2224.25,379.52,2.11,37
2224.375,363.44,2.09,35.08
2224.5,342.26,2.08,32
2224.625,315.77,2.12,28.15
2224.75,286.01,2.18,25
2224.875,265.81,2.26,23.08
2225,251.2,2.35,24
2225.125,240.44,2.43,24.96
2225.25,232.79,2.47,25
2225.375,229.05,2.51,24.04
2225.5,225.19,2.53,23
2225.625,221.88,2.54,22.04
2225.75,219.47,2.56,21
2225.875,216.91,2.58,21
2226,213.35,2.59,20
2226.125,211.16,2.58,20
2226.25,212.26,2.54,20
2226.375,215.9,2.47,20.96
2226.5,221.87,2.37,22
2226.625,236.42,2.26,23.93
2226.75,264.65,2.16,27
2226.875,290.96,2.09,29.89
2227,306.76,2.07,34
2227.125,316.12,2.1,34.96
2227.25,326.28,2.15,34
2227.375,325.39,2.19,33.04
2227.5,314.17,2.21,34
2227.625,306.2,2.22,34
2227.75,299.64,2.21,34
2227.875,284.99,2.18,33.04
2228,270.74,2.13,33
2228.125,272.75,2.08,32.04
2228.25,279.79,2.06,31
2228.375,285.16,2.06,31
2228.5,293.81,2.09,32
2228.625,297.73,2.12,32.96
2228.75,290.86,2.13,33
2228.875,284.09,2.13,31.08
2229,278.62,2.14,28
2229.125,267.69,2.17,25.11
2229.25,253.14,2.2,24
2229.375,245.43,2.18,24
2229.5,242.39,2.12,24
2229.625,241.06,2.05,24
2229.75,249.07,2,26
2229.875,271.88,1.95,28.89
2230,306.81,1.9,33
2230.125,343.79,1.84,38.77
2230.25,375.42,1.81,44
2230.375,386.35,1.83,45.93
2230.5,374.16,1.87,40
2230.625,345.92,1.93,31.34
2230.75,306.03,2,23
2230.875,273.15,2.12,20.11
2231,249.65,2.26,19
2231.125,240.88,2.4,19.96
2231.25,237.81,2.51,21
2231.375,235.61,2.56,21.96
2231.5,234.23,2.58,22
2231.625,230.88,2.59,22
2231.75,222.91,2.59,20
2231.875,219.3,2.59,18.08
2232,220.71,2.59,17
2232.125,219.47,2.59,16.04
2232.25,214.3,2.6,15
2232.375,208.13,2.61,15
2232.5,198.66,2.62,16
2232.625,193,2.61,17.93
2232.75,196.62,2.6,22
2232.875,207.31,2.58,27.77
2233,219.99,2.57,31
2233.125,232.27,2.55,29.08
2233.25,251.32,2.49,27
2233.375,274.61,2.41,27
2233.5,294.4,2.33,31
2233.625,306.42,2.26,35.81
2233.75,323.81,2.22,39
2233.875,335.67,2.2,39.96
2234,328.57,2.22,38
2234.125,315.42,2.25,36.08
2234.25,300.99,2.32,34
2234.375,276.81,2.4,32.08
2234.5,246.38,2.48,31
2234.625,231.04,2.54,30.04
2234.75,229.31,2.57,29
2234.875,234.17,2.59,29
2235,243.67,2.59,29
2235.125,253.18,2.58,28.04
2235.25,259.29,2.58,26
2235.375,258.37,2.58,24.08
2235.5,249.43,2.58,22
2235.625,234.33,2.59,20.08
2235.75,219.09,2.59,19
2235.875,208.3,2.59,18.04
2236,201,2.58,18
2236.125,203.18,2.58,18
2236.25,212.97,2.58,19
2236.375,221.93,2.59,19.96
2236.5,225.02,2.6,19
2236.625,221.68,2.61,16.11
2236.75,212.83,2.61,13
2236.875,201.94,2.62,9.15
2237,189.31,2.63,7
2237.125,181.52,2.63,7
2237.25,177.34,2.64,7
2237.375,176.39,2.65,6.04
2237.5,175.5,2.66,6
2237.625,174.09,2.66,5.04
2237.75,172.15,2.66,5
2237.875,171.24,2.61,5.96
2238,173.83,2.47,9
2238.125,183.42,2.24,12.85
2238.25,205.63,1.97,16
2238.375,241.54,1.79,16
2238.5,286.95,1.67,17
2238.625,318.93,1.63,20.85
2238.75,336.15,1.65,27
2238.875,331.38,1.72,27.96
2239,310.75,1.85,27
2239.125,284.62,2.03,24.11
2239.25,256.64,2.25,21
2239.375,235.66,2.41,17.15
2239.5,221.29,2.52,16
2239.625,209.58,2.55,16
2239.75,199.57,2.54,17
2239.875,203.27,2.5,18.93
2240,215.55,2.49,22
2240.125,225.78,2.5,24.89
2240.25,231.96,2.51,25
2240.375,235.7,2.52,23.08
2240.5,235.83,2.51,22
2240.625,232.56,2.49,22
2240.75,230.09,2.48,22
2240.875,229.78,2.49,22
2241,228.88,2.54,21
2241.125,225.09,2.59,21
2241.25,218.45,2.63,21
2241.375,215.1,2.64,20.04
2241.5,215.14,2.64,20
2241.625,216.83,2.63,20.96
2241.75,220.43,2.63,22
2241.875,223.59,2.64,22
2242,221.63,2.64,21
2242.125,216.22,2.59,21
2242.25,213.37,2.52,21
2242.375,220.35,2.46,21
2242.5,233.36,2.45,22
2242.625,242.51,2.48,22
2242.75,247.62,2.5,22
2242.875,246.47,2.51,21.04
2243,233.91,2.49,21
2243.125,219.03,2.48,21.96
2243.25,208.78,2.47,22
2243.375,204.94,2.45,22.96
2243.5,202.42,2.42,23
2243.625,202.25,2.39,23.96
2243.75,204.12,2.38,24
2243.875,207.24,2.35,24.96
2244,211.82,2.26,25
2244.125,216.38,2.14,25
2244.25,220.66,2.01,24
2244.375,226.45,1.93,24
2244.5,236.29,1.91,27
2244.625,243.29,1.93,32.77
2244.75,246.46,1.94,38
2244.875,253.97,1.95,38
2245,266.02,1.94,35
2245.125,272.53,1.94,33.08
2245.25,277.17,1.96,33
2245.375,282.9,2,34.93
2245.5,285.28,2.05,37
2245.625,281.78,2.09,37.96
2245.75,281.57,2.12,38
2245.875,287.95,2.14,37.04
2246,289.15,2.15,36
2246.125,284.68,2.16,36
2246.25,288.42,2.16,37
2246.375,296.67,2.17,39.89
2246.5,307.31,2.19,45
2246.625,323.25,2.2,45.96
2246.75,333.23,2.21,46
2246.875,320.73,2.23,45.04
2247,300.23,2.25,45
2247.125,290.94,2.28,44.04
2247.25,292.04,2.29,40
2247.375,296.53,2.28,34.23
2247.5,299.94,2.27,26
2247.625,292.66,2.28,19.26
2247.75,266.8,2.31,15
2247.875,235.38,2.36,15
2248,224.54,2.4,15
2248.125,242.27,2.4,16.93
2248.25,274.6,2.29,21
2248.375,308.01,2.11,25.81
2248.5,343.7,1.91,36
2248.625,370.57,1.79,45.62
2248.75,389.35,1.71,45
2248.875,402.51,1.7,39.23
2249,413.65,1.71,36
2249.125,407.27,1.74,33.11
2249.25,375.41,1.79,31
2249.375,337.14,1.85,30.04
2249.5,298,1.9,29
2249.625,272.13,1.93,28.04
2249.75,257.35,1.94,26
2249.875,253.44,1.92,26
2250,257.63,1.86,28
2250.125,271.31,1.79,33.77
2250.25,294.91,1.74,45
2250.375,324.67,1.74,57.51
2250.5,357.22,1.79,64
2250.625,371.3,1.85,60.15
2250.75,369.65,1.89,54
2250.875,362.87,1.91,51.11
2251,348.08,1.95,48
2251.125,327.57,2,41.26
2251.25,306.46,2.07,34
2251.375,293.5,2.13,29.19
2251.5,287.32,2.16,26
2251.625,296.42,2.15,25.04
2251.75,324.99,2.1,27
2251.875,362.5,2.04,31.81
2252,396.01,1.97,41
2252.125,405.99,1.9,48.7
2252.25,402.92,1.86,53
2252.375,394.03,1.85,52.04
2252.5,377.27,1.85,50
2252.625,360.12,1.87,49.04
2252.75,350.54,1.9,49
2252.875,342.07,1.93,48.04
2253,327.54,1.96,47
2253.125,319.57,1.99,47
2253.25,322.07,2.04,48
2253.375,334.47,2.08,47.04
2253.5,359.78,2.1,45
2253.625,387.25,2.09,42.11
2253.75,405.73,2.02,41
2253.875,412.8,1.9,42.93
2254,417.62,1.78,46
2254.125,415.47,1.73,46.96
2254.25,402.93,1.74,42
2254.375,382.66,1.78,35.26
2254.5,349.48,1.86,31
2254.625,308.21,1.93,30.04
2254.75,267.28,1.94,30
2254.875,256.16,1.9,29.04
2255,273.71,1.87,27
2255.125,299.42,1.85,26.04
2255.25,317.6,1.84,27
2255.375,332.15,1.86,29.89
2255.5,346.79,1.88,34
2255.625,355.91,1.92,37.85
2255.75,370.78,2,40
2255.875,385.98,2.13,42.89
2256,378.41,2.26,47
2256.125,346.19,2.35,49.89
2256.25,308.3,2.34,51
2256.375,285.58,2.27,49.08
2256.5,283.29,2.15,46
2256.625,306.59,2.04,44.08
2256.75,343.67,1.95,43
2256.875,367.66,1.9,41.08
2257,372.69,1.88,40
2257.125,364.92,1.89,38.08
2257.25,347.49,1.9,36
2257.375,325.53,1.91,34.08
2257.5,304.88,1.93,33
2257.625,291.38,1.93,33
2257.75,278.73,1.93,34
2257.875,276.28,1.91,34.96
2258,291.26,1.89,33
2258.125,312.86,1.88,31.08
2258.25,328.03,1.9,30
2258.375,325.77,1.96,30.96
2258.5,313.53,2.03,34
2258.625,303.26,2.05,37.85
2258.75,303.02,2,43
2258.875,311.4,1.92,46.85
2259,320.64,1.85,48
2259.125,326.27,1.82,47.04
2259.25,332.3,1.81,46
2259.375,339.06,1.8,44.08
2259.5,345.02,1.79,41
2259.625,347.03,1.8,38.11
2259.75,342.57,1.82,36
2259.875,326.09,1.88,35.04
2260,295.33,1.94,34
2260.125,272.1,1.99,34
2260.25,265.51,2.02,34
2260.375,271.72,2.03,34.96
2260.5,273.21,2.05,36
2260.625,270.55,2.06,36
2260.75,272.01,2.06,35
2260.875,271.5,2.04,34.04
2261,267.05,2,33
2261.125,272.27,1.95,33.96
2261.25,290.78,1.92,35
2261.375,314.86,1.9,34.04
2261.5,336.44,1.9,34
2261.625,344.85,1.91,35.93
2261.75,339.07,1.92,38
2261.875,320.03,1.94,39.93
2262,295.15,1.96,40
2262.125,286.6,1.97,37.11
2262.25,293.2,1.97,34
2262.375,302.68,1.96,31.11
2262.5,308.76,2,28
2262.625,305.28,2.09,24.15
2262.75,285.48,2.24,21
2262.875,261.15,2.39,19.08
2263,242.29,2.48,19
2263.125,233.14,2.45,19.96
2263.25,231.96,2.35,21
2263.375,243.27,2.24,21.96
2263.5,262.17,2.16,25
2263.625,272.28,2.13,27.89
2263.75,275.62,2.12,31
2263.875,276.13,2.1,32.93
2264,271.54,2.03,33
2264.125,262.75,1.97,32.04
2264.25,261.99,1.93,32
2264.375,272.87,1.93,31.04
2264.5,283.01,1.94,30
2264.625,281.98,1.96,30
2264.75,279.63,1.97,32
2264.875,275.73,1.98,34.89
2265,265.24,1.99,41
2265.125,264.99,1.97,48.7
2265.25,289.73,1.95,55
2265.375,311.26,1.91,55.96
2265.5,318.41,1.89,52
2265.625,312.4,1.87,48.15
2265.75,295.13,1.86,44
2265.875,270.4,1.85,42.08
2266,253.7,1.84,42
2266.125,254.48,1.83,42.96
2266.25,268.2,1.83,44
2266.375,289.79,1.84,45.93
2266.5,316.64,1.86,48
2266.625,338.9,1.93,48
2266.75,357.61,2,47
2266.875,367.32,2.07,46.04
2267,369.66,2.1,46
2267.125,369.87,2.16,46
2267.25,366.47,2.19,47
2267.375,352.91,2.19,46.04
2267.5,333.12,2.16,44
2267.625,314.37,2.12,40.15
2267.75,293.61,2.08,38
2267.875,281.51,2.04,37.04
2268,284.2,2.02,37
2268.125,290.07,2,37
2268.25,295.83,1.98,37
2268.375,310.51,1.98,36.04
2268.5,324.49,1.99,36
2268.625,325.69,2,35.04
2268.75,327.13,2.01,36
2268.875,328.21,2.02,36.96
2269,316.88,2.03,36
2269.125,304.02,2.02,35.04
2269.25,299.61,2,34
2269.375,299.19,1.94,33.04
2269.5,302.51,1.89,32
2269.625,312.11,1.86,32
2269.75,320.71,1.86,32
2269.875,322.34,1.88,31.04
2270,319.19,1.91,30
2270.125,306.97,1.93,29.04
2270.25,291.78,1.94,27
2270.375,286.43,1.94,26.04
2270.5,290.34,1.94,25
2270.625,297.4,1.97,25.96
2270.75,308.09,2.01,28
2270.875,316.89,2.05,29.93
2271,322.38,2.07,31
2271.125,328.46,2.06,31
2271.25,337.28,2.04,32
2271.375,340.72,2.06,32
2271.5,334.88,2.13,32
2271.625,325.28,2.24,31.04
2271.75,313.81,2.36,29
2271.875,300.67,2.42,27.08
2272,285.95,2.42,25
2272.125,278.38,2.39,24.04
2272.25,277.95,2.35,24
2272.375,278.78,2.31,24
2272.5,281.14,2.29,25
2272.625,288.27,2.27,25.96
2272.75,299.26,2.26,28
2272.875,311.02,2.23,28.96
2273,319.98,2.21,30
2273.125,320.26,2.2,30.96
2273.25,311.74,2.22,30
2273.375,296.45,2.25,29.04
2273.5,276.58,2.27,28
2273.625,270.87,2.25,27.04
2273.75,278.96,2.22,27
2273.875,295.58,2.18,27
2274,315,2.16,29
2274.125,328.34,2.14,31.89
2274.25,336.75,2.13,37
2274.375,340.53,2.11,41.81
2274.5,340.62,2.09,43
2274.625,338.52,2.07,41.08
2274.75,333.61,2.05,38
2274.875,325.56,2.02,36.08
2275,320.81,1.98,35
2275.125,320.3,1.93,35
2275.25,316.42,1.89,37
2275.375,310.47,1.86,40.85
2275.5,304.2,1.84,47
2275.625,295.54,1.83,51.81
2275.75,287.62,1.82,52
2275.875,285.3,1.83,49.11
2276,286.73,1.85,43
2276.125,291.18,1.9,34.34
2276.25,291.69,1.99,28
2276.375,278.12,2.13,25.11
2276.5,260.78,2.28,24
2276.625,244.99,2.41,24
2276.75,223.37,2.5,22
2276.875,206.75,2.57,21.04
2277,202.85,2.61,20
2277.125,208.9,2.63,20
2277.25,217.99,2.63,21
2277.375,227.54,2.62,21.96
2277.5,236.43,2.61,24
2277.625,241.61,2.59,25.93
2277.75,244.04,2.56,28
2277.875,244.44,2.52,28
2278,243.1,2.5,27
2278.125,239.01,2.5,25.08
2278.25,232.36,2.52,22
2278.375,225.02,2.54,19.11
2278.5,217.28,2.56,18
2278.625,211.55,2.56,17.04
2278.75,207.31,2.57,17
2278.875,204.34,2.58,17
2279,201.58,2.6,18
2279.125,201.01,2.63,18.96
2279.25,204.35,2.65,21
2279.375,209.9,2.65,22.93
2279.5,214.17,2.62,24
2279.625,216.13,2.56,24
2279.75,219.09,2.49,22
2279.875,223.25,2.41,22
2280,226.65,2.35,24
2280.125,228.32,2.35,24
2280.25,229.36,2.39,24
2280.375,227.96,2.47,24
2280.5,224.49,2.53,25
2280.625,225.27,2.55,25.96
2280.75,231.17,2.52,26
2280.875,238.22,2.45,27.93
2281,244.84,2.36,31
2281.125,249.32,2.25,34.85
2281.25,252.35,2.15,36
2281.375,255.18,2.09,36
2281.5,258.27,2.09,34
2281.625,260.97,2.18,34
2281.75,265.01,2.34,33
2281.875,266.92,2.5,28.19
2282,262.39,2.59,22
2282.125,254.67,2.61,18.15
2282.25,245.06,2.61,17
2282.375,234.27,2.6,17.96
2282.5,223.79,2.6,19
2282.625,217.66,2.6,19
2282.75,211.19,2.6,19
2282.875,205.44,2.56,18.04
2283,205.71,2.51,18
2283.125,212.79,2.46,19.93
2283.25,223.83,2.4,23
2283.375,235.29,2.33,26.85
2283.5,247.77,2.25,31
2283.625,256.74,2.17,30.04
2283.75,262.79,2.12,28
2283.875,268.41,2.12,25.11
2284,276.33,2.16,23
2284.125,280.37,2.24,22.04
2284.25,279.16,2.31,22
2284.375,274.45,2.37,22.96
2284.5,265.5,2.38,23
2284.625,253.32,2.31,23
2284.75,245.95,2.15,24
2284.875,244.31,1.94,26.89
2285,244.06,1.74,32
2285.125,246.33,1.63,38.74
2285.25,250.44,1.58,41
2285.375,251,1.58,39.08
2285.5,251.63,1.62,38
2285.625,262.58,1.67,38.96
2285.75,286,1.72,41
2285.875,304.48,1.77,41.96
2286,315.02,1.84,42
2286.125,315.06,1.89,42.96
2286.25,304.94,1.91,45
2286.375,287.27,1.89,44.04
2286.5,269.34,1.82,40
2286.625,263.6,1.73,39.04
2286.75,271.08,1.66,39
2286.875,279.58,1.62,39.96
2287,284.79,1.62,39
2287.125,287.22,1.65,38.04
2287.25,281.02,1.69,41
2287.375,266.17,1.73,47.74
2287.5,249.58,1.79,58
2287.625,241.12,1.85,62.81
2287.75,239.32,1.91,58
2287.875,247.2,1.94,49.34
2288,262.75,1.93,44
2288.125,276.99,1.88,42.08
2288.25,288.8,1.83,42
2288.375,304.98,1.78,42
2288.5,322.18,1.75,41
2288.625,317.73,1.73,41.96
2288.75,297.99,1.69,43
2288.875,279.44,1.63,43
2289,259.86,1.58,43
2289.125,245.93,1.55,45.89
2289.25,255.86,1.54,51
2289.375,288.62,1.54,54.85
2289.5,323.98,1.54,53
2289.625,330.59,1.53,48.19
2289.75,321.07,1.52,42
2289.875,313.97,1.51,39.11
2290,318.44,1.51,38
2290.125,333.55,1.53,38.96
2290.25,353.81,1.58,43
2290.375,361.78,1.67,47.81
2290.5,351.01,1.8,51
2290.625,318.74,1.93,50.04
2290.75,279.69,2.01,45
2290.875,259.22,2.03,39.23
2291,260.82,2.01,35
2291.125,270.87,1.99,34.04
2291.25,284.85,1.95,34
2291.375,299.05,1.89,34.96
2291.5,314.56,1.83,35
2291.625,326.55,1.79,33.08
2291.75,327.99,1.81,32
2291.875,318.44,1.88,30.08
2292,303.75,1.97,28
2292.125,288.62,2.02,27.04
2292.25,274.51,2.03,26
2292.375,269.59,2.02,26
2292.5,269.9,2.01,26
2292.625,273.02,2,26
2292.75,278.51,1.99,26
2292.875,283.22,1.96,26
2293,288.58,1.92,28
2293.125,298.45,1.89,28.96
2293.25,311.78,1.88,31
2293.375,320.08,1.87,30.04
2293.5,322.59,1.86,29
2293.625,321.27,1.86,29
2293.75,316.23,1.83,30
2293.875,307.92,1.79,30.96
2294,300.66,1.74,32
2294.125,302.06,1.7,33.93
2294.25,311.76,1.68,36
2294.375,328.37,1.69,37.93
2294.5,348.2,1.74,39
2294.625,363.27,1.84,39
2294.75,372.54,1.94,37
2294.875,365.65,2.06,31.23
2295,344.68,2.18,27
2295.125,325.42,2.26,25.08
2295.25,311.34,2.24,25
2295.375,303.56,2.18,25.96
2295.5,308.93,2.12,27
2295.625,325.13,2.08,28.93
2295.75,342.25,2.06,31
2295.875,347.51,2.1,31.96
2296,345.89,2.18,32
2296.125,336.79,2.29,31.04
2296.25,319.03,2.39,30
2296.375,300.75,2.46,29.04
2296.5,288.07,2.52,28
2296.625,282.76,2.55,27.04
2296.75,278.94,2.56,27
2296.875,282.28,2.53,27
2297,295.5,2.46,28
2297.125,312.23,2.37,28
2297.25,329.7,2.26,30
2297.375,341.94,2.16,30.96
2297.5,349.78,2.06,33
2297.625,356.04,1.98,34.93
2297.75,358.98,1.92,37
2297.875,354.54,1.88,39.89
2298,349.68,1.86,45
2298.125,343.36,1.85,50.77
2298.25,326.4,1.85,54
2298.375,308.51,1.86,52.08
2298.5,296.53,1.87,46
2298.625,293.59,1.89,38.3
2298.75,298.45,1.9,32
2298.875,310.45,1.92,29.11
2299,321.9,1.93,29
2299.125,325.83,1.94,30.93
2299.25,323.76,1.94,33
2299.375,317.13,1.92,35.89
2299.5,307.47,1.88,39
2299.625,303.47,1.8,41.89
2299.75,311.27,1.72,47
2299.875,326.68,1.65,52.77
2300,345.06,1.62,59
2300.125,360.88,1.64,59
2300.25,375.82,1.72,53
2300.375,379.09,1.84,45.3
2300.5,367.13,1.97,39
2300.625,348.08,2.08,36.11
2300.75,332.52,2.14,34
2300.875,321.61,2.18,33.04
2301,309.35,2.21,32
2301.125,298.24,2.24,30.08
2301.25,287.03,2.28,28
2301.375,273.85,2.32,27.04
2301.5,257.57,2.34,27
2301.625,249.22,2.32,27.96
2301.75,254.67,2.3,29
2301.875,266.63,2.24,30.93
2302,281.67,2.16,33
2302.125,297.36,2.08,34.93
2302.25,313.62,2.02,35
2302.375,324.73,1.99,35
2302.5,331.6,2.01,35
2302.625,331.12,2.04,35
2302.75,322.38,2.08,35
2302.875,312.06,2.14,35.96
2303,304.63,2.18,37
2303.125,303.73,2.15,37
2303.25,309.19,2.09,37
2303.375,319.09,2.02,36.04
2303.5,327.81,1.99,36
2303.625,329.01,2.02,36
2303.75,326.23,2.07,36
2303.875,323.67,2.15,36.96
2304,319.36,2.22,35
2304.125,308.49,2.28,31.15
2304.25,287.75,2.34,27
2304.375,267.62,2.38,24.11
2304.5,255.27,2.42,22
2304.625,253.98,2.42,22.96
2304.75,258.87,2.4,25
2304.875,267.22,2.4,25.96
2305,272.49,2.42,27
2305.125,265.75,2.46,27
2305.25,246.61,2.5,24
2305.375,228.8,2.54,22.08
2305.5,214.05,2.56,18
2305.625,202.51,2.57,15.11
2305.75,194.69,2.57,13
2305.875,196.24,2.55,12.04
2306,203.74,2.53,12
2306.125,211.95,2.5,12.96
2306.25,220.09,2.47,13
2306.375,225.82,2.46,13
2306.5,229.24,2.45,13
2306.625,229.66,2.46,13
2306.75,228.98,2.47,13
2306.875,228.21,2.47,13
2307,227.02,2.47,12
2307.125,224.23,2.48,12
2307.25,218.98,2.49,12
2307.375,214.18,2.51,12
2307.5,211.87,2.53,13
2307.625,213.38,2.54,13.96
2307.75,218.36,2.54,16
2307.875,225.89,2.53,18.89
2308,233.79,2.52,21
2308.125,237.3,2.51,22.93
2308.25,237.97,2.51,23
2308.375,237.86,2.51,23
2308.5,237.29,2.52,23
2308.625,235.96,2.53,23
2308.75,234.56,2.53,22
2308.875,233.65,2.53,22
2309,232.67,2.53,21
2309.125,232.43,2.52,20.04
2309.25,233.73,2.52,20
2309.375,235.74,2.52,20
2309.5,237.28,2.52,21
2309.625,238.14,2.52,21
2309.75,238.2,2.52,21
2309.875,237.18,2.52,21
2310,235.7,2.52,21
2310.125,234.79,2.52,21
2310.25,234.16,2.52,22
2310.375,233.96,2.52,22
2310.5,234.32,2.53,22
2310.625,236.35,2.53,22
2310.75,242.32,2.53,22
2310.875,250.6,2.53,22
2311,257.43,2.53,23
2311.125,256.99,2.55,23.96
2311.25,250.52,2.58,24
2311.375,240.93,2.62,22.08
2311.5,229.95,2.63,20
2311.625,224.04,2.62,18.08
2311.75,223.88,2.58,18
2311.875,226.33,2.56,17.04
2312,227.67,2.54,17
2312.125,227.31,2.54,16.04
2312.25,226.91,2.55,16
2312.375,227.71,2.55,16.96
2312.5,229.14,2.55,18
2312.625,229.79,2.55,17.04
2312.75,230.18,2.55,16
2312.875,228.85,2.55,13.11
2313,224.96,2.54,11
2313.125,221.08,2.53,10.04
2313.25,218.37,2.52,9
2313.375,216.01,2.51,8.04
2313.5,214.66,2.49,9
2313.625,215.88,2.48,9
2313.75,218.81,2.48,10
2313.875,222.32,2.48,10.96
2314,225.48,2.49,12
2314.125,227.22,2.49,12.96
2314.25,228.33,2.5,15
2314.375,229.02,2.51,16.93
2314.5,230.08,2.52,19
2314.625,232.52,2.52,19.96
2314.75,236.33,2.52,22
2314.875,240.5,2.52,23.93
2315,245.29,2.52,24
2315.125,249.44,2.52,24.96
2315.25,252.71,2.52,25
2315.375,256.69,2.51,25
2315.5,264.59,2.5,26
2315.625,272.26,2.48,26.96
2315.75,276.28,2.48,28
2315.875,278.46,2.48,28
2316,279.88,2.5,29
2316.125,276.64,2.52,29
2316.25,269.4,2.52,28
2316.375,262.88,2.52,27.04
2316.5,256.13,2.52,26
2316.625,249.46,2.52,25.04
2316.75,242.81,2.52,24
2316.875,238.93,2.52,23.04
2317,236.77,2.52,22
2317.125,233.9,2.51,22
2317.25,229.9,2.5,22
2317.375,227.81,2.49,22.08
2317.5,227.63,2.48,22
2317.625,228.23,2.48,22.08
2317.75,229.27,2.48,23
2317.875,229.71,2.49,24
2318,228.38,2.51,25
2318.125,226.09,2.52,26.93
2318.25,224.62,2.54,28
2318.375,224.81,2.54,27.96
2318.5,226.05,2.54,27
2318.625,227.27,2.53,26
2318.75,227.17,2.53,26
2318.875,225.03,2.52,27.04
2319,221.64,2.52,27
2319.125,218.65,2.52,25.08
2319.25,216.25,2.52,24
2319.375,215.34,2.51,23.04
2319.5,216.09,2.5,23
2319.625,217.24,2.49,23
2319.75,217.72,2.49,23
2319.875,217.35,2.49,23
2320,216.75,2.49,22
2320.125,216.18,2.49,22
2320.25,215.7,2.49,22
2320.375,215.79,2.49,22
2320.5,216.82,2.49,22
2320.625,218.27,2.49,22
2320.75,219.68,2.49,22
2320.875,220.84,2.49,22
2321,222.15,2.48,22
2321.125,223.53,2.48,22
2321.25,225.29,2.48,22
2321.375,227.58,2.48,22
2321.5,230.51,2.48,22
2321.625,233.42,2.47,22
2321.75,236.22,2.47,22
2321.875,237.61,2.47,22.96
2322,238.35,2.47,23
2322.125,239.27,2.46,23
2322.25,240.35,2.46,22
2322.375,241.47,2.46,22
2322.5,243.08,2.46,22
2322.625,243.78,2.46,22
2322.75,243.41,2.45,22
2322.875,242.79,2.46,22
2323,241.9,2.46,22
2323.125,240.91,2.47,21.04
2323.25,240.6,2.47,21
2323.375,240.95,2.48,22
2323.5,240.73,2.49,22
2323.625,239.13,2.49,23
2323.75,236.49,2.49,23
2323.875,233.8,2.49,24
2324,230.54,2.49,24.5
2324.125,227.32,2.49,24.04
2324.25,223.43,2.48,25
2324.375,219.35,2.48,26.04
2324.5,214.05,2.5,25
2324.625,208.63,2.52,23
2324.75,203.77,2.55,23
2324.875,201.04,2.56,23.96
2325,200.46,2.57,24
2325.125,203.15,2.58,21.93
